Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus elo basic cowok bego,1,1,1,0,0,0,0,0,1,1,0,0
telat tau eluedan sarap gue gaul cigax jifla cal licew,0,1,0,0,0,0,0,0,0,0,0,0
kadang berfikir percaya tuhan jatuh berkalikali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0
akunnku tau mata sipit liat,0,0,0,0,0,0,0,0,0,0,0,0
kaum cebong kafir dongok dungu hahahah,1,1,0,1,1,0,0,0,0,0,1,0
ya bani taplak kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilih kepala daerah aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue selesai rewatch aldnoah zero kampret endingnya karakter utama cowok kena friendzone bray xd,0,1,0,0,0,0,0,0,0,0,0,0
admin belanja port baik nak makan ais kepal milo ais kepal horlicks cendol toping kau kaw  doket gerai rojak mertua taipan twins baby amp romantika bank islam senawang ,0,0,0,0,0,0,0,0,0,0,0,0
enak ngewe,0,1,0,0,0,0,0,0,0,0,0,0
gue jari lu gue ukur nyali bacot,1,1,1,0,0,0,0,0,1,1,0,0
banci kaleng malu ga nyungsep koe,1,1,1,0,0,0,0,1,0,1,0,0
kalo ajar ekonomi mesti jago privatisasi hati orang duh ironi,0,0,0,0,0,0,0,0,0,0,0,0
aktor huru hara prabowo s lengser perintah jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
bu guru enak jablay guru sekolah dasar sihnkayaknya nikmat pecun guru,1,1,1,0,0,0,0,1,0,1,0,0
lawan bicara gue intelek kayak loe otak ttg kencing onta gue aku hadis nabi sahih kafir kayak tolak ahlunnar,1,1,1,0,1,0,0,0,0,1,0,0
pikir ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0
ari bek rapi,0,1,0,0,0,0,0,0,0,0,0,0
cowok gantle gantle nama banci,1,1,0,1,0,0,0,1,0,0,1,0
slga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
asw ya gue jarang ngambek takut wkwk gue bucin,0,1,0,0,0,0,0,0,0,0,0,0
noob peluang sakit nya gede si,0,0,0,0,0,0,0,0,0,0,0,0
joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0
ajar sma kec bilah hilir deklarasi anti hoax amp pilkada damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional kertajati bangun gubernur ahmad heryawan apbn perintah pusat insya allah operasi,0,0,0,0,0,0,0,0,0,0,0,0
gubernur presiden rakyat ya kita,0,0,0,0,0,0,0,0,0,0,0,0
sih kerja delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0
turut pintu sorga pintu sorga asli pintu hati modus banget,0,0,0,0,0,0,0,0,0,0,0,0
pki muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0,0,1,0,1,0,0,0,0,1,0
neneknenek heran cebong bohong,1,1,1,0,0,0,0,0,1,1,0,0
islam nusantara produk jil pasar gencar jilnnsementara jil anti arab pro asengnnkata alm kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
habis sahur jam sibayik nete skg lemas,0,0,0,0,0,0,0,0,0,0,0,0
gak kak emak suka sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
laku homo jaman now ngentot live blued gayvid gvid lokalhangat,0,1,0,0,0,0,0,0,0,0,0,0
ga kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training kayak gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,1,1,0,1,0,0,0,0,1,0,1,0
bajing luka lady terima ganjar ratus kali,0,1,0,0,0,0,0,0,0,0,0,0
aja tolak berita hoaks sukses pilih kepala daerah wilayah kota keidri,0,0,0,0,0,0,0,0,0,0,0,0
presiden ri jokowi luarbiasa kerja nya tulus ihlas,0,0,0,0,0,0,0,0,0,0,0,0
edan tuju fabiano,0,1,0,0,0,0,0,0,0,0,0,0
gapernah dalam alquran ya bang pantesan mulut kaya orang kafir bejat hina farhatabbaslaw,1,1,1,0,1,0,1,0,0,1,0,0
beda wibawa wibawa gubernur indonesia massya allah,0,0,0,0,0,0,0,0,0,0,0,0
anjir kali lihat orang bego debat pilkada kerja serang karakter shame on empok silvy and agus debatfinalpilkadajkt,1,1,0,1,0,0,0,0,1,0,1,0
gubernurzamannow keanekaragaman budaya suku agama sungguh kaya kita djarot hadap serta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
iya islam lokalisasi lha kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sundajawa hkbp nusantara,0,0,0,0,0,0,0,0,0,0,0,0
cipta situasi kamtibmas jelang pilkada kapolsek konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornn,0,0,0,0,0,0,0,0,0,0,0,0
